fill	x	y	tooltip	key	showSelectedlegendfill	clickSelects	showSelected1
#FFFFFF	1	1	-Inf<thresh<-4.0 FP=12 FN=0	-5 -Inf	More	-Inf	-5
#FFFFFF	0.75	1	-4.0<thresh<-3.2 FP=9 FN=0	-5 -3.5987564321254	More	-3.5987564321254	-5
#FFFFFF	0.666666666666667	1	-3.2<thresh<-2.6 FP=8 FN=0	-5 -2.87110214393305	More	-2.87110214393305	-5
#FFFFFF	0.583333333333333	1	-2.6<thresh<-2.5 FP=7 FN=0	-5 -2.524465240576	More	-2.524465240576	-5
#FFFFFF	0.583333333333333	0.75	-2.5<thresh<-1.0 FP=7 FN=1	-5 -1.7250450381836	More	-1.7250450381836	-5
#FFFFFF	0.5	0.75	-1.0<thresh<1.0 FP=6 FN=1	-5 -0.0126575242852369	More	-0.0126575242852369	-5
#FFFFFF	0.416666666666667	0.75	1.0<thresh<1.6 FP=5 FN=1	-5 1.26988692973461	More	1.26988692973461	-5
#FFFFFF	0.416666666666667	0.5	1.6<thresh<1.9 FP=5 FN=2	-5 1.71885391825865	More	1.71885391825865	-5
#FFFFFF	0.166666666666667	0.5	1.9<thresh<2.6 FP=2 FN=2	-5 2.20830916989523	More	2.20830916989523	-5
#000000	0.0833333333333333	0.5	2.6<thresh<3.3 FP=1 FN=2	-5 2.92562278092917	Min	2.92562278092917	-5
#FFFFFF	0.0833333333333333	0.25	3.3<thresh<4.6 FP=1 FN=3	-5 3.95283511716953	More	3.95283511716953	-5
#000000	0	0.25	4.6<thresh<6.3 FP=0 FN=3	-5 5.45202555736225	Min	5.45202555736225	-5
#FFFFFF	0	0	6.3<thresh<Inf FP=0 FN=4	-5 Inf	More	Inf	-5
#FFFFFF	1	1	-Inf<thresh<-4.0 FP=12 FN=0	-4.8 -Inf	More	-Inf	-4.8
#FFFFFF	0.75	1	-4.0<thresh<-3.2 FP=9 FN=0	-4.8 -3.5987564321254	More	-3.5987564321254	-4.8
#FFFFFF	0.666666666666667	1	-3.2<thresh<-2.6 FP=8 FN=0	-4.8 -2.87110214393305	More	-2.87110214393305	-4.8
#FFFFFF	0.583333333333333	1	-2.6<thresh<-2.5 FP=7 FN=0	-4.8 -2.524465240576	More	-2.524465240576	-4.8
#FFFFFF	0.583333333333333	0.75	-2.5<thresh<-1.0 FP=7 FN=1	-4.8 -1.7250450381836	More	-1.7250450381836	-4.8
#FFFFFF	0.5	0.75	-1.0<thresh<0.8 FP=6 FN=1	-4.8 -0.112657524285237	More	-0.112657524285237	-4.8
#FFFFFF	0.416666666666667	0.75	0.8<thresh<1.6 FP=5 FN=1	-4.8 1.16988692973461	More	1.16988692973461	-4.8
#FFFFFF	0.416666666666667	0.5	1.6<thresh<1.7 FP=5 FN=2	-4.8 1.61885391825865	More	1.61885391825865	-4.8
#FFFFFF	0.166666666666667	0.5	1.7<thresh<2.4 FP=2 FN=2	-4.8 2.00830916989523	More	2.00830916989523	-4.8
#000000	0.0833333333333333	0.5	2.4<thresh<3.1 FP=1 FN=2	-4.8 2.72562278092917	Min	2.72562278092917	-4.8
#FFFFFF	0.0833333333333333	0.25	3.1<thresh<4.4 FP=1 FN=3	-4.8 3.75283511716953	More	3.75283511716953	-4.8
